CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Courtyard By Marriott Bozeman|MSB|0011I00000cJScgQAG||a1W1I000000aWPZUA2|F|Courtyard By Marriott|NALO|West|0011I00000cJXh7QAG|0011I00000cJXh7QAG||Pre-Opening||
Delta Hotels by Marriott Victoria Ocean Pointe Resort|FS|0011I00000cJXVUQA4|YYJVO|a1W1I000000aWQKUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXxTQAW||Open||
Delta Hotels by Marriott Edmonton South Conference Centre|FS|0011I00000cJXVUQA4|YEGES|a1W1I000000aWQLUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJTxAQAW||Open||
AC Hotel By Marriott Austin-University|MSB|0011I00000cJXmfQAG|AUSAW|a1W1I000000aWQyUAM|F|AC Hotels By Marriott|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Open||
Delta Hotels by Marriott Burlington|FS|0011I00000cJXqOQAW|BTVDE|a1W1I000000aWQzUAM|F|Delta Hotels and Resorts|NALO|East|0011I00000cJXnRQAW|0011I00000cJXnRQAW||Open||
The Westin New Orleans|FS|0011I00000cJXVgQAO|MSYWI|a1W1I000000aWRaUAM|F|Westin Hotels|NALO|East|0011I00000cJVW8QAO|0011I00000cJVW8QAO||Open||
Aloft Dulles Airport North|MSB|0011I000013SCQAQA4|IADAL|a1W1I000000aWRbUAM|F|Aloft Hotels|NALO|East|0011I000010YKZCQA4|0011I000010YKZCQA4||Open||
Sheraton Garden Grove-Anaheim South Hotel|FS|0011I00000cJXVmQAO|SNAAN|a1W1I000000aWS9UAM|F|Sheraton Hotels|NALO|West|0011I00000cJXVmQAO|0011I00000cJXVmQAO||Open||
Four Points by Sheraton Houston Hobby Airport|MSB|0011I00000cJXbKQAW|HOUBB|a1W1I000000aWSAUA2|F|Four Points by Sheraton|NALO|West|0011I00000cJXrVQAW|0011I00000cJXrVQAW||Open||
Aloft Tucson University|MSB|0011I00000cJXWYQA4|TUSAL|a1W1I000000aWSfUAM|F|Aloft Hotels|NALO|West|0011I00000cJXgmQAG|0011I00000cJXgmQAG||Open||
Sheraton Tarrytown Hotel|FS|0011I00000cJXqsQAG|HPNSI|a1W1I000000aWSgUAM|F|Sheraton Hotels|NALO|East|0011I00000cJXvGQAW|0011I00000cJXvGQAW||Open||
Sheraton Batumi Hotel|FS|0011I00000cJUGAQA4|BUSSI|a1W1I000000aWTAUA2|M|Sheraton Hotels|INTL|Europe||0011I00000cJXkUQAW||Open||
Sheraton Iowa City Hotel|FS||CIDSI|a1W1I000000aWTBUA2|F|Sheraton Hotels|NALO|West||||Deflagged||
Element Toronto Airport|MSB|0011I00000cJXcVQAW|YYZEA|a1W1I000000aWTgUAM|F|Element Hotels|NALO|Canada|0011I00000cJXcVQAW|0011I00000cJXcVQAW||Open||
Element Syracuse Inner Harbor|MSB|0011I00000cJXqPQAW||a1W1I000000aWThUAM|F|Element Hotels|NALO|East|0011I00000cJTpDQAW|0011I00000cJTpDQAW||Cancelled||
Le Méridien St. Louis Downtown|FS|0011I00000cJXXFQA4|STLMO|a1W1I000000aWULUA2|F|Le Méridien|NALO|West|0011I00000cJXXFQA4|0011I00000cJXXFQA4||Pre-Opening||
Aloft Atlanta Lawrenceville|MSB|0011I00000cJXcXQAW|ATLAU|a1W1I000000aWUMUA2|F|Aloft Hotels|NALO|East|0011I00000cJWjSQAW|0011I00000cJWjSQAW||Pre-Opening||
Fairfield Inn & Suites Wellington-West Palm Beach|MSB|0011I00000cJXVUQA4|PBIFW|a1W1I000000aWUsUAM|M|Fairfield Inn & Suites|NALO|East||0011I00000cJXrWQAW||Open||
Element Sedona|MSB|0011I00000cJXWXQA4|FLGEL|a1W1I000000aWUtUAM|F|Element Hotels|NALO|West|0011I00000cJXh7QAG|0011I00000cJXh7QAG||Open||
The Residences at The Ritz-Carlton Westchester I|Luxury|0011I00000cJSGpQAO|RRCW1|a1W1I000000aWOAUA2|M|The Ritz-Carlton|NALO|East||0011I00000cJXn4QAG||Open||
Montreal Airport Marriott In-Terminal Hotel|FS|0011I00000cJXVUQA4|YULMA|a1W1I000000aWOBUA2|M|Marriott Hotels & Resorts|NALO|Canada||0011I00000cJXeoQAG||Open||
Fairfield Inn & Suites Chicago Downtown/River North|MSB|0011I00000cJXmfQAG|CHIFT|a1W1I000000aWOoUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Open||
Dallas Marriott Downtown|FS|0011I00000cJXVUQA4|DALDT|a1W1I000000aWOpUAM|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJXsQQAW||Open||
The Ritz-Carlton, Astana|Luxury|0011I00000cJSGpQAO|TSERZ|a1W1I000000aWPaUAM|M|The Ritz-Carlton|INTL|Europe||0011I00000cJXgsQAG||Open||
The Miami Beach EDITION|Luxury|0011I00000cJXVUQA4|MIAEB|a1W1I000000aWPbUAM|M|Edition|NALO|East||0011I00000cJWS0QAO||Open||
Marathon|MSB|0011I00000cJXoDQAW||a1W1I000000aWPcUAM|F|Residence Inn By Marriott|NALO|East|0011I00000cJWQgQAO|0011I00000cJWQgQAO||Cancelled||
Delta Hotels by Marriott Fredericton|FS|0011I00000cJXVUQA4|YFCDF|a1W1I000000aWQMUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXc1QAG||Open||
Delta Hotels by Marriott Calgary Airport In-Terminal Hotel|FS|0011I00000cJXVUQA4|YYCCA|a1W1I000000aWQNUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXxTQAW||Open||
Gaylord San Diego Resort & Convention Center|FS|0011I00000cJXVUQA4|SANGE|a1W1I000000aWR0UAM|M|Gaylord Hotels|NALO|West||0011I00000cJXgZQAW||Pre-Opening||
Washington, DC Marriott Northeast|FS|0011I00000cJXheQAG|WASNN|a1W1I000000aWR1UAM|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXmtQAG|0011I00000cJXmtQAG||Pre-Opening||
Residence Inn By Marriott Berkeley|MSB|0011I00000cJXlmQAG|OAKRR|a1W1I000000aWR2UAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXlmQAG|0011I00000cJXlmQAG||Pre-Opening||
Charleston North/University Area|MSB|0011I00000cJXX3QAO||a1W1I000000aWR3UAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXX3QAO|0011I00000cJXX3QAO||Cancelled||
The Westin Palace, Madrid|FS|0011I00000cJUGAQA4|MADWI|a1W1I000000aWRcUAM|M|Westin Hotels|INTL|Europe||0011I00000mMuNrQAK||Open||
Sheraton Stockholm Hotel|FS|0011I00000cJUGAQA4|STOSI|a1W1I000000aWRdUAM|M|Sheraton Hotels|INTL|Europe||0011I00000mMuNrQAK||Open||
Le Méridien Piccadilly|FS|0011I00000cJUGAQA4|LONPM|a1W1I000000aWReUAM|M|Le Méridien|INTL|Europe||0011I00000mMuNrQAK||Deflagged||
Four Points by Sheraton Huntsville Airport|MSB|0011I00000cJXnyQAG|HSVFP|a1W1I000000aWSBUA2|F|Four Points by Sheraton|NALO|East|0011I00000cJVYoQAO|0011I00000cJVYoQAO||Open||
Sheraton Grand London Park Lane|FS|0011I00000cJUGAQA4|LONGR|a1W1I000000aWSCUA2|M|Sheraton Hotels|INTL|Europe||0011I00000cJXkoQAG||Open||
Sheraton Westport Plaza Hotel St. Louis|FS|0011I00000cJXarQAG|STLPS|a1W1I000000aWShUAM|F|Sheraton Hotels|NALO|West|0011I00000cJXarQAG|0011I00000cJXarQAG||Open||
Sheraton Westport Chalet Hotel St. Louis|FS|0011I00000cJXarQAG|STLSI|a1W1I000000aWSiUAM|F|Sheraton Hotels|NALO|West|0011I00000cJXarQAG|0011I00000cJXarQAG||Open||
Aloft Charleston Airport & Convention Center|MSB|0011I00000cJXmIQAW|CHSAL|a1W1I000000aWTCUA2|F|Aloft Hotels|NALO|East|0011I00000cJXmIQAW|0011I00000cJXmIQAW||Open||
Element Ewing Princeton|MSB|0011I00000cJXqyQAG|TTNEL|a1W1I000000aWTDUA2|F|Element Hotels|NALO|East|0011I00000cJXqyQAG|0011I00000cJXqyQAG||Open||
Element Boulder Superior|MSB|0011I00000cJXqOQAW|DENSU|a1W1I000000aWTiUAM|F|Element Hotels|NALO|West|0011I00000cJXiuQAG|0011I00000cJXiuQAG||Open||
Aloft Fort Worth Alliance Airport|MSB|0011I00000cJXxFQAW|DFWAA|a1W1I000000aWUNUA2|F|Aloft Hotels|NALO|West|0011I00000cJTn0QAG|0011I00000cJTn0QAG||Cancelled||
Aloft Mission|MSB|0011I00000cJVcKQAW||a1W1I000000aWUOUA2|F|Aloft Hotels|NALO|West|0011I00000cJXjAQAW|0011I00000cJXjAQAW||Cancelled||
Four Points by Sheraton Peoria|MSB|0011I00000cJXXFQA4|PIAFP|a1W1I000000aWUPUA2|F|Four Points by Sheraton|NALO|West|0011I00000cJXXFQA4|0011I00000cJXXFQA4||Open||
W Residences Hoboken|Luxury|0011I00000cJTjcQAG|EWR40|a1W1I000000aWUuUAM|M|W Hotels|NALO|East||0011I00000cJXcCQAW||Open||
Delta Hotels by Marriott Los Angeles Arcadia|FS|0011I00000cJXc8QAG|LAXDE|a1W1I000000aWUvUAM|F|Delta Hotels and Resorts|NALO|West|0011I00000cJWlSQAW|0011I00000cJWlSQAW||Cancelled||
Chicago Marriott Midway|FS|0011I00000cJXqOQAW|CHIMA|a1W1I000000aWOCUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXUWQA4|0011I00000cJXUWQA4||Open||
Austin Downtown Marriott|FS|0011I00000cJXmfQAG||a1W1I000000aWODUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Cancelled||
Pompano Beach Marriott Resort|FS|0011I00000cJXVUQA4||a1W1I000000aWOEUA2|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJWbzQAG||Cancelled||
Lewiston|MSB|0011I00000cJXbXQAW||a1W1I000000aWOqUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXbXQAW|0011I00000cJXbXQAW||Cancelled||
Fairfield Inn & Suites Amarillo Airport|MSB|0011I00000cJXqOQAW|AMAAP|a1W1I000000aWOrUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
South Beach Edition|Luxury|0011I00000cJXVUQA4||a1W1I000000aWOsUAM|M|Edition|NALO|East||0011I00000cJXVqQAO||Cancelled||
Philadelphia North Wales|MSB|0011I00000cJXUzQAO||a1W1I000000aWPdUAM|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
Fairfield Vitoria|MSB|||a1W1I000000aWPeUAM|O|Fairfield Inn By Marriott|INTL|CALA||0011I00000cJXVUQA4||Cancelled||
Fairfield Salvador|MSB|||a1W1I000000aWPfUAM|O|Fairfield Inn By Marriott|INTL|CALA||0011I00000cJXVUQA4||Cancelled||
Fairfield Manaus|MSB|||a1W1I000000aWPgUAM|O|Fairfield Inn By Marriott|INTL|CALA||0011I00000cJXVUQA4||Cancelled||
Marriott's StreamSide at Vail Birch|Other|0011I00000cJSLcQAO|WHRBI|a1W1I000000aWPhUAM|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Delta Hotels by Marriott Barrington|FS|0011I00000cJXVUQA4|YHZDB|a1W1I000000aWQOUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXxTQAW||Deflagged||
Meadowvale|FS|0011I00000cJXVUQA4|YYZDM|a1W1I000000aWQPUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJSOcQAO||Cancelled||
Renaissance Landmark Lagos Hotel|FS|0011I00000cJXVUQA4|LOSRL|a1W1I000000aWR4UAM|M|Renaissance Hotels & Resorts|INTL|AFIO||0011I00000cJWXtQAO||Pre-Opening||
Marriott Executive Apartments Lagos Landmark|Other|0011I00000cJXVUQA4|LOSEL|a1W1I000000aWR5UAM|M|Marriott Executive Apartments|INTL|AFIO||0011I00000cJWXtQAO||Pre-Opening||
Marriott Bethesda Downtown at Marriott HQ|FS|0011I00000cJXVUQA4|WASBD|a1W1I000000aWR6UAM|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJXlxQAG||Pre-Opening||
Sheraton Parsippany Hotel|FS|0011I00000cJXpdQAG|EWRSP|a1W1I000000aWRfUAM|F|Sheraton Hotels|NALO|East|0011I00000cJSOcQAO|0011I00000cJSOcQAO||Open||
The Westin Indianapolis|FS|0011I00000cJXnTQAW|INDWI|a1W1I000000aWRgUAM|F|Westin Hotels|NALO|West|0011I00000cJTx9QAG|0011I00000cJTx9QAG||Open||
Aloft Asheville Downtown|MSB|0011I00000cJXnyQAG|AVLAL|a1W1I000000aWSDUA2|F|Aloft Hotels|NALO|East|0011I00000cJXnyQAG|0011I00000cJXnyQAG||Open||
Four Points by Sheraton Wakefield Boston Hotel & Conference Center|MSB|0011I00000cJXqhQAG|BOSFF|a1W1I000000aWSEUA2|F|Four Points by Sheraton|NALO|East|0011I00000cJXqhQAG|0011I00000cJXqhQAG||Open||
Sheraton Sonoma Wine Country Petaluma|FS|0011I00000cJXkGQAW|STSSI|a1W1I000000aWSjUAM|F|Sheraton Hotels|NALO|West|0011I00000cJXkGQAW|0011I00000cJXkGQAW||Open||
Sheraton Herndon Dulles Airport Hotel|FS||IADHS|a1W1I000000aWSkUAM|F|Sheraton Hotels|NALO|East||||Deflagged||
W Amsterdam|Luxury|0011I00000cJUGAQA4|AMSWH|a1W1I000000aWTEUA2|M|W Hotels|INTL|Europe||0011I00000cJXktQAG||Open||
The Westin Pittsburgh|FS|0011I00000cJTjcQAG|PITWI|a1W1I000000aWTFUA2|M|Westin Hotels|NALO|East||0011I00000cJXu8QAG||Open||
Element Knoxville West|MSB|0011I00000cJXWSQA4|TYSEL|a1W1I000000aWTjUAM|F|Element Hotels|NALO|East|0011I00000cJWgwQAG|0011I00000cJWgwQAG||Open||
Four Points by Sheraton Edmonton West|MSB|0011I00000cJXgnQAG|YEGFW|a1W1I000000aWTkUAM|F|Four Points by Sheraton|NALO|Canada|0011I00000cJUMAQA4|0011I00000cJUMAQA4||Open||
Four Points by Sheraton Oklahoma City Airport|MSB|0011I00000cJVepQAG|OKCOF|a1W1I000000aWUQUA2|F|Four Points by Sheraton|NALO|West|0011I00000cJTmjQAG|0011I00000cJTmjQAG||Open||
Aloft Framingham|MSB|0011I00000cJXqhQAG|BOSAF|a1W1I000000aWURUA2|F|Aloft Hotels|NALO|East|0011I00000cJXqhQAG|0011I00000cJXqhQAG||Pre-Opening||
Fairfield Inn & Suites Atlanta Airport South/Sullivan Road|MSB|0011I00000cJXX2QAO|ATLAA|a1W1I000000aWqaUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXX2QAO|0011I00000cJXX2QAO||Open||
Fairfield Inn & Suites Jonesboro|MSB|0011I00000cJXqOQAW|JBRFI|a1W1I000000aWqyUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJVpHQAW|0011I00000cJVpHQAW||Open||
The Ritz-Carlton Residences, Waikiki Beach (Residential Resort)|Luxury|0011I00000cJSGpQAO|HNLRR|a1W1I000000aWrNUAU|M|The Ritz-Carlton|NALO|West||0011I00000cJWeLQAW||Open||
Courtyard By Marriott New York Downtown Manhattan/World Trade Center Area|MSB|0011I00000cJXlmQAG|NYCXM|a1W1I000000aWrOUAU|F|Courtyard By Marriott|NALO|East|0011I00000cJXlmQAG|0011I00000cJXlmQAG||Open||
Residence Inn By Marriott Denver Airport/Convention Center|MSB|0011I00000cJWbEQAW|DENRA|a1W1I000000aWs7UAE|F|Residence Inn By Marriott|NALO|West|0011I00000cJWbEQAW|0011I00000cJWbEQAW||Open||
TownePlace Suites By Marriott Lakeland|MSB|0011I00000cJWMkQAO|TPAXL|a1W1I000000aWs8UAE|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJWMkQAO|0011I00000cJWMkQAO||Open||
Delta Hotels by Marriott Daytona Beach Oceanfront|FS|0011I00000cJXWsQAO|DABDE|a1W1I000000aWsYUAU|F|Delta Hotels and Resorts|NALO|East|0011I00000cJWhUQAW|0011I00000cJWhUQAW||Open||
Sheraton Boston Hotel|FS|0011I00000cJTjcQAG|BOSBO|a1W1I000000aWsuUAE|M|Sheraton Hotels|NALO|East||0011I00000cJSOcQAO||Open||
Sheraton Niagara Falls|FS|0011I00000cJXtaQAG|IAGAF|a1W1I000000aWsvUAE|F|Sheraton Hotels|NALO|East|0011I00000cJXtaQAG|0011I00000cJXtaQAG||Open||
Aloft New Orleans Downtown|MSB|0011I00000cJXn3QAG|MSYAL|a1W1I000000aWtLUAU|F|Aloft Hotels|NALO|East|0011I00000cJXn3QAG|0011I00000cJXn3QAG||Open||
SpringHill Suites By Marriott Long Island Brookhaven|MSB|0011I00000cJXqOQAW|ISPSH|a1W1I000000aWqbUAE|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
Courtyard By Marriott Boston Billerica/Bedford|MSB|0011I00000cJXnPQAW|BOSBB|a1W1I000000aWqcUAE|F|Courtyard By Marriott|NALO|East|0011I00001IBXweQAH|0011I00001IBXweQAH||Open||
SpringHill Suites By Marriott El Paso|MSB|0011I00000cJXWYQA4|ELPSE|a1W1I000000aWqzUAE|F|SpringHill Suites By Marriott|NALO|West|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
Fairfield Inn & Suites El Paso|MSB|0011I00000cJXWYQA4|ELPFI|a1W1I000000aWr0UAE|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
The Algonquin Resort St. Andrews by-the-Sea, Autograph Collection®|FS|0011I00000cJXVZQA4|YSJAK|a1W1I000000aWrPUAU|F|Autograph Collection|NALO|Canada|0011I00000cJXVZQA4|0011I00000cJXVZQA4||Open||
Fairfield Inn & Suites Austin Buda|MSB|0011I00000cJWT5QAO|AUSBU|a1W1I000000aWroUAE|F|Fairfield Inn & Suites|NALO|West|0011I00000cJWT5QAO|0011I00000cJWT5QAO||Open||
Fairfield Inn & Suites Orlando Kissimmee/Celebration|MSB|0011I00000cJWVxQAO|MCOKX|a1W1I000000aWrpUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJWVxQAO|0011I00000cJWVxQAO||Open||
Courtyard By Marriott Ruston|MSB|0011I00000cJXnWQAW|MLURU|a1W1I000000aWs9UAE|F|Courtyard By Marriott|NALO|East|0011I00000cJXvsQAG|0011I00000cJXvsQAG||Open||
Residence Inn By Marriott Spartanburg Westgate|MSB|0011I00000cJWPIQA4|SPAWE|a1W1I000000aWsAUAU|F|Residence Inn By Marriott|NALO|East|0011I00000cJWPIQA4|0011I00000cJWPIQA4||Open||
AC Hotel By Marriott Cleveland Beachwood|MSB|0011I00000cJWa2QAG|CLEAC|a1W1I000000aWsdUAE|F|AC Hotels By Marriott|NALO|West|0011I00000cJWa2QAG|0011I00000cJWa2QAG||Open||
The Westin Washington, DC City Center|FS|0011I00000cJXnTQAW|WASCW|a1W1I000000aWsyUAE|F|Westin Hotels|NALO|East|0011I00000cJXcpQAG|0011I00000cJXcpQAG||Open||
Sheraton Suites Akron Cuyahoga Falls|FS|0011I00000cJXURQA4|CAKSI|a1W1I000000aWtMUAU|F|Sheraton Hotels|NALO|West|0011I00000cJXURQA4|0011I00000cJXURQA4||Open||
Le Méridien Charlotte|FS|0011I00000cJXlmQAG|CLTMD|a1W1I000000aWtNUAU|F|Le Méridien|NALO|East|0011I00000cJTm1QAG|0011I00000cJTm1QAG||Open||
SpringHill Suites By Marriott Augusta|MSB|0011I00000cJXdIQAW|AGSSH|a1W1I000000aWqdUAE|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXdIQAW|0011I00000cJXdIQAW||Open||
Residence Inn By Marriott Augusta|MSB|0011I00000cJXdIQAW|AGSRI|a1W1I000000aWqeUAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJXdIQAW|0011I00000cJXdIQAW||Open||
Niagara Falls Marriott on the Falls|FS|0011I00000cJXtaQAG|IAGMC|a1W1I000000aWr1UAE|F|Marriott Hotels & Resorts|NALO|Canada|0011I00000cJXtaQAG|0011I00000cJXtaQAG||Open||
The Press Hotel, Autograph Collection|FS|0011I00000cJTwQQAW|PWMAK|a1W1I000000aWr2UAE|F|Autograph Collection|NALO|East|0011I00000cJXojQAG|0011I00000cJXojQAG||Open||
Waterline Marina Resort & Beach Club, Autograph Collection|FS|0011I00000cJXfbQAG|SRQAK|a1W1I000000aWrQUAU|F|Autograph Collection|NALO|East|0011I00000cJXfbQAG|0011I00000cJXfbQAG||Open||
Beverly Hills Marriott|FS|0011I00000cJXqsQAG|LAXBV|a1W1I000000aWrRUAU|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Fairfield Inn & Suites Cut Off-Galliano|MSB|0011I00000cJXiGQAW|MSYLL|a1W1I000000aWrqUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXiGQAW|0011I00000cJXiGQAW||Open||
AC Hotel By Marriott Denver Downtown|MSB|0011I00000cJXmfQAG|DENAC|a1W1I000000aWrrUAE|F|AC Hotels By Marriott|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Open||
TownePlace Suites By Marriott Nashville Goodlettsville|MSB|0011I00000cJXVUQA4|BNATG|a1W1I000000aWsBUAU|M|TownePlace Suites By Marriott|NALO|East||0011I00000cJXs1QAG||Open||
Residence Inn By Marriott Miami Sunny Isles Beach|MSB|0011I00000cJXVUQA4|MIANM|a1W1I000000aWsCUAU|M|Residence Inn By Marriott|NALO|East||0011I00000cJXt1QAG||Open||
Residence Inn By Marriott Denver Southwest/Littleton|MSB|0011I00000cJWVjQAO|DENRT|a1W1I000000aWsZUAU|F|Residence Inn By Marriott|NALO|West|0011I00000cJWVjQAO|0011I00000cJWVjQAO||Open||
Fairfield Inn & Suites Mebane|MSB|0011I00000cJXsSQAW|RDUFM|a1W1I000000aWsaUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXsSQAW|0011I00000cJXsSQAW||Open||
Sheraton Carlsbad Resort & Spa|FS|0011I00000cJXiUQAW|SANBS|a1W1I000000aWswUAE|F|Sheraton Hotels|NALO|West|0011I00000cJToVQAW|0011I00000cJToVQAW||Open||
The Westin San Diego Downtown|FS|0011I00000cJXqOQAW|SANWS|a1W1I000000aWsxUAE|F|Westin Hotels|NALO|West|0011I00000cJXcpQAG|0011I00000cJXcpQAG||Open||
Courtyard By Marriott Boston Logan Airport|MSB|0011I00000cJWa8QAG|BOSLA|a1W1I000000aWqfUAE|F|Courtyard By Marriott|NALO|East|0011I00000cJWa8QAG|0011I00000cJWa8QAG||Open||
SpringHill Suites By Marriott Raleigh Cary|MSB|0011I00000cJXaYQAW|RDURH|a1W1I000000aWqgUAE|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXaYQAW|0011I00000cJXaYQAW||Open||
Residence Inn By Marriott Bath Brunswick Area|MSB|0011I00000cJWa8QAG|PWMBA|a1W1I000000aWr3UAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJWa8QAG|0011I00000cJWa8QAG||Open||
Courtyard By Marriott Philadelphia South at The Navy Yard|MSB|0011I00000cJXVUQA4|PHLCS|a1W1I000000aWr4UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXqbQAG||Open||
The Historic Davenport, Autograph Collection|FS|0011I00000cJXiFQAW|GEGAK|a1W1I000000aWrSUAU|F|Autograph Collection|NALO|West|0011I00000cJXiFQAW|0011I00000cJXiFQAW||Open||
Elyton Hotel, Autograph Collection|FS|0011I00000cJXtFQAW|BHMAK|a1W1I000000aWrTUAU|F|Autograph Collection|NALO|East|0011I00000cJXtFQAW|0011I00000cJXtFQAW||Open||
Fairfield Inn & Suites Pocatello|MSB|0011I00000cJXijQAG|IDAFP|a1W1I000000aWsDUAU|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXijQAG|0011I00000cJXijQAG||Open||
TownePlace Suites By Marriott Boynton Beach|MSB|0011I00000cJXerQAG|PBITB|a1W1I000000aWsEUAU|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXerQAG|0011I00000cJXerQAG||Open||
The Gwen, a Luxury Collection Hotel, Michigan Avenue Chicago|Luxury|0011I00000cJXpdQAG|CHILC|a1W1I000000aWszUAE|F|The Luxury Collection|NALO|West|0011I00000cJXcpQAG|0011I00000cJXcpQAG||Open||
The Westin Riverfront Resort & Spa, Avon, Vail Valley|FS|0011I00000cJShyQAG|WHRBW|a1W1I000000aWt0UAE|F|Westin Hotels|NALO|West|0011I00000cJShyQAG|0011I00000cJShyQAG||Open||
Fairfield Inn & Suites Natchitoches|MSB|0011I00000cJXpOQAW|IERFI|a1W1I000000aWr5UAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXpOQAW|0011I00000cJXpOQAW||Open||
Fairfield Inn & Suites Calgary Downtown|MSB|0011I00000cJXVUQA4|YYCFI|a1W1I000000aWrUUAU|M|Fairfield Inn & Suites|NALO|Canada||0011I00000cJXjUQAW||Open||
Fairfield Inn & Suites Abingdon|MSB|0011I00000cJWTyQAO|TRIAB|a1W1I000000aWsFUAU|F|Fairfield Inn & Suites|NALO|East|0011I00000cJWTyQAO|0011I00000cJWTyQAO||Open||
Residence Inn By Marriott Flagstaff|MSB|0011I00000cJWU3QAO|FLGRF|a1W1I000000aWsGUAU|F|Residence Inn By Marriott|NALO|West|0011I00000cJWU3QAO|0011I00000cJWU3QAO||Open||
Sheraton North Houston at George Bush Intercontinental Airport|FS|0011I00000cJXpdQAG|HOUGI|a1W1I000000aWt1UAE|F|Sheraton Hotels|NALO|West|0011I00000cJUObQAO|0011I00000cJUObQAO||Open||
Fairfield Inn & Suites Jackson Clinton|MSB|0011I00000cJWMaQAO|JANCL|a1W1I000000aWr6UAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXswQAG|0011I00000cJXswQAG||Open||
Courtyard By Marriott Montvale|MSB|0011I00000cJXWYQA4|EWRMV|a1W1I000000aWr7UAE|F|Courtyard By Marriott|NALO|East|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
Fairfield Inn & Suites East Grand Forks|MSB|0011I00000cJXhLQAW|GFKEG|a1W1I000000aWrVUAU|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXhLQAW|0011I00000cJXhLQAW||Open||
Courtyard By Marriott San Diego El Cajon|MSB|0011I00000cJXsyQAG|SANEC|a1W1I000000aWrWUAU|F|Courtyard By Marriott|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Open||
Delta Hotels by Marriott Prince Edward|FS|0011I00000cJXVUQA4|YYGDP|a1W1I000000aWsJUAU|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXwEQAW||Open||
Delta Hotels by Marriott Anaheim Garden Grove|FS|0011I00000cJVYHQA4|SNADE|a1W1I000000aWsbUAE|F|Delta Hotels and Resorts|NALO|West|0011I00000cJVYHQA4|0011I00000cJVYHQA4||Open||
Delta Hotels by Marriott Utica|FS|0011I00000cJWdMQAW|UCADE|a1W1I000000aWscUAE|F|Delta Hotels and Resorts|NALO|East|0011I00000cJWdMQAW|0011I00000cJWdMQAW||Open||
